0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,7,6,10,9,0,4,6,0,1,1,0,0,0,0.19851719988413602,162815559.93598738,12857587.774250694,0.02211261236865226,213300000.0,20791.65774495972
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6,5,5,7,6,1,7,6,10,0,1,0,0,0,0,0.002970501371269976,188870360.46190527,6320800.309666242,0.05460051379755007,205800000.0,6064.407904047339
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,7,6,5,7,0,0,6,4,0,0,4,0,0,1.411507962684685,15747241.845258182,43072311.91936214,0.007965735462940741,182600000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,6,7,5,0,0,6,6,0,0,7,0,0,0.2939644996951241,3644144.037480391,56779971.54391775,0.00026552148694887446,0.0,67968.65438611075
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,3,9,0,0,0,0,0,0,1.5910495850971695,478989791.41779745,0.0,0.4390141160016708,84600000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,6,6,6,3,0,0,1,6,0,1,0,0,0,0.34951486560271533,474546208.8036095,20319063.206658736,0.052894792772859474,0.0,83920.2069068599
0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,7,2,6,7,6,2,0,5,6,0,0,0,0,0,0,0.18536105557416824,47906099.60885058,0.0,0.035653634772192404,1124300000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,6,6,7,2,1,0,0,0,0,1,0,0.2405891696313656,316704616.2798188,25037214.086173728,0.10744122078983946,0.0,12098.697117742437
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,4,7,7,0,0,0,1,4,0,0,3,0,0,1.047804377819551,51140916.93109242,40046721.40454503,0.017589434403343197,84600000.0,40635.12871797224
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,7,7,2,0,0,1,4,0,5,0,0,0,1.047804377819551,474546208.8036095,22356212.824753046,0.15868437831857846,84600000.0,40635.12871797224
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,6,6,6,7,0,2,5,0,0,0,3,0,0,0.5197176714969498,131353919.91704908,30351526.042379983,0.024026059535642356,0.0,22365.04658043986
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,7,0,1,6,0,0,6,0,0,0,0,0,0,1.749790842488987,158825173.77280205,0.0,0.14286573276939146,121200000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,6,7,6,0,3,6,0,0,0,2,0,0,1.3286697045295481,156742565.19205105,27578229.96765524,0.12212179156181363,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,6,4,5,4,0,0,1,6,0,2,0,0,0,1.9677133911907383,151354418.46005672,21556221.14781617,0.13842230340730954,121200000.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,4,4,1,0,0,0,6,4,0,0,3,0,0,1.0845354996458614,81640609.74572667,40046721.40454503,0.07849903584453649,30700000.0,0.0
0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,4,4,6,8,6,4,0,2,5,0,0,0,0,0,0,0.04882626915459227,62598600.153306894,0.0,0.012852146723420829,1201300000.0,4290.403878648293
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,7,2,6,6,6,3,0,3,9,0,0,2,0,0,0,0.15512250828049548,165568715.96423873,7332080.219521779,0.05391217158798354,151900000.0,14385.944858474599
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,7,6,5,7,0,0,3,3,0,0,4,0,0,1.5480704083140553,1792628.9521848152,41830524.25380514,0.0007904152515864849,363600000.0,0.0
0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,5,1,6,0,3,0,6,6,2,0,4,0,0,0.0798273610121294,424027.4981783439,54933337.70501326,0.0003616383184993949,812000000.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,0,4,9,2,3,0,0,0,0,1.4209796587968881,477237226.9338193,16373078.863592021,0.44433576551069276,84600000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1,6,9,0,2,6,7,0,0,8,0,0,1.5470007794826321,700010.7061661924,62725353.47869106,0.0005136394190522976,0.0,0.0
1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,6,6,10,1,7,0,6,7,0,0,0,0,0,0,0.18415168755656375,48024956.6939173,0.0,0.035653634772192404,1075700000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,7,0,5,3,7,2,6,5,5,0,7,0,0,0.1001530290515259,1728228.6455966495,68355940.49396642,0.00020967716813302548,0.0,10536.874191368408
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,5,5,5,1,6,0,3,6,0,2,0,0,0,0,0.110161457923453,94359817.67120482,7332080.219521779,0.01277201434977197,273100000.0,13082.355100616256
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,4,0,7,3,0,9,9,6,3,3,7,3,0,0.5888874681085198,0.0,116959436.75326371,0.0,30700000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,2,6,7,7,7,4,4,0,0,7,0,0,0.06507659511080059,26889889.57400853,53888708.9073047,0.019268258499866527,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,5,6,6,3,0,0,5,7,0,0,0,0,0,0.8289575793071134,477433064.4920998,14261651.781499248,0.16020700486555767,0.0,32921.56208198284
0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,7,2,1,7,1,3,7,5,6,0,3,0,3,0,0,0.0018302296537766037,14030261.269225532,38804933.73898803,0.00998889479251977,1208900000.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,7,5,2,1,6,3,7,0,1,0,4,0,0,0,0,0.011733259289341312,166123332.73375836,9695195.36216505,0.018218202646340068,121200000.0,16943.73191136508
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,7,2,6,0,6,6,0,1,6,0,0,0,0,0,0,0.3357790335422527,165111594.79921812,0.0,0.14783512660697223,182600000.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,9,0,1,4,0,0,6,0,0,0,5,0,0,0.17122561335505557,73679985.12912673,36676675.840294495,0.004955284247388054,30700000.0,37928.609730220436
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,6,1,1,3,0,1,6,0,0,0,4,0,0,0.23855213889975907,51047446.40960763,33377116.55719709,0.0031951015796615376,121200000.0,26468.585170278457
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,7,1,2,10,6,2,0,6,10,1,0,0,0,0,0,0.09663462904755682,163389726.41441703,6320800.309666242,0.01781219320805192,205800000.0,29278.975881111655
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,5,1,3,7,0,7,4,0,0,3,0,0,0.23822063986096317,99254693.60318944,40046721.40454503,0.030175060289573688,0.0,5727.977304576037
