0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,6,9,7,1,5,0,0,5,0,0,0.4321294069071656,6500049.327267516,47745447.52654896,0.006000922197761224,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,2,5,0,3,1,0,0,0,0,0,0,0.2880911253991661,150404940.02408087,0.0,0.04473843722067538,0.0,15209.86074466044
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,2,5,0,3,1,0,0,0,0,0,0,0.2200590568919151,156043603.84364092,0.0,0.04739562767432998,84600000.0,14371.728526163188
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3,0,7,1,6,4,2,7,0,0,0,0,0,0,0.015113244956419447,199928210.10633653,0.0,0.05769276454671538,30700000.0,7126.708176162805
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,3,1,0,0,0,2,3,0,0,0,0,1.1453569207239582,113405031.92715302,16373078.863592023,0.10494257460001313,0.0,0.0
0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,3,5,1,3,1,0,0,3,0,0,0,0,0,0,0.1448534877964176,12842908.10164239,0.0,0.0033126652017389903,1311400000.0,6791.80054843224
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,5,0,3,1,2,0,3,0,0,0,0.08874974380603576,142922065.28639027,16373078.863592023,0.016287512484034893,84600000.0,34111.77777131389
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,2,0,0,2,4,7,4,0,0,0,0,0,0,0.1556120461142401,72500661.88254914,0.0,0.05215769239449317,205800000.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,5,1,0,0,1,0,0,0,0.1968046833530519,159769860.06728545,6320800.309666243,0.04847903220915991,84600000.0,14754.046694925619
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,2,0,3,5,0,0,1,5,3,0,3,0,0,0.7851100889383493,0.0,51420143.17768408,0.0,121200000.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,4,1,1,0,0,0,0,0,0,0.27590671109018927,165168333.0152988,0.0,0.13134823578629856,84600000.0,0.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6,2,0,2,5,0,0,1,2,0,0,3,0,0,0.5788857435236776,26523668.831560634,37683606.26190175,0.018073955153695496,115300000.0,0.0
0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,7,2,6,5,3,2,0,6,1,4,0,0,3,0,0,0.04786339099715298,2124260.134882898,40046721.404545024,0.0006670110405473656,478900000.0,2106.126412143464
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,1,4,2,6,0,0,5,0,0,0,0,0,0,0.0912939945989368,148274555.15388325,0.0,0.014931048142128246,0.0,32421.474718708294
