A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
27,276.7455122030768,10.0,0.8405544519935172,31.427608935596428,1.0,0.8272713209967953,306.507077507274,10.0,0.4049971757738955,322.42610764609145,1.5,0.7340371215015781,203.6941304039414,1.5,0.7885630063435144,2.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,policy 0,dikesnet
14,59.05234075309998,1.0,0.19927910287490005,273.25055472253825,1.0,0.34498134700748945,344.43183777348855,1.0,0.059866643784226466,309.15258851593705,1.0,0.9539129652788032,57.06324149787177,1.0,0.19838012258595086,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,policy 0,dikesnet
3,276.69846285325764,10.0,0.7403042201918715,213.70168309573216,1.0,0.2523907298830625,217.71403031438214,1.5,0.8634717329009223,332.999249344267,1.0,0.012778841170487202,277.7749072512435,1.0,0.19397032683141227,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,policy 0,dikesnet
109,232.60730866414212,1.5,0.5446242043815503,160.37219978790094,1.0,0.4128394765369086,180.02693649588662,10.0,0.5733430436524217,34.047271393982406,10.0,0.2666702607430834,48.14674261847425,10.0,0.4745737271113037,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,policy 0,dikesnet
88,336.57250985140183,1.0,0.9532153751641337,156.7352619140625,10.0,0.9127274057140948,202.17131922731397,1.5,0.877247296202183,192.2055753965176,10.0,0.5909886795856187,87.46021146236316,10.0,0.7699062655388713,4.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,policy 0,dikesnet
7,169.26616046710012,1.5,0.9323755870594184,228.07005257315564,1.0,0.03830314704513535,145.1538856653431,10.0,0.6875063411339364,247.04835450999553,1.5,0.5888962257662729,210.4736009945083,1.5,0.7633900680700854,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,policy 0,dikesnet
3,331.0600861891087,1.5,0.951417545810967,190.10030413239036,10.0,0.6548606176181669,148.03231184418678,10.0,0.18219459452469766,220.45021983813962,1.0,0.5353606867458844,118.43174947560945,10.0,0.08901048857472138,4.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,policy 0,dikesnet
63,294.78566670725496,10.0,0.30744483418649465,40.969320615090986,10.0,0.2334881116722068,158.30850321995533,10.0,0.05111297892480148,257.9392086767869,1.5,0.29026414504809994,291.7013453230772,1.0,0.4564749053755349,3.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,policy 0,dikesnet
7,293.0997028384541,10.0,0.9578078282502822,289.51903716148325,10.0,0.10149594499904577,115.67073508708563,1.0,0.8684113095564854,94.81151353917329,1.5,0.9301645882419419,163.47201423580583,1.5,0.2920331378614494,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,policy 0,dikesnet
29,272.56777173130746,1.5,0.6649147276786358,327.95699538427823,10.0,0.26651642621061783,99.10007370532887,1.5,0.08813463969381165,327.47045329494136,1.0,0.6617042623651479,234.7456170511453,1.0,0.5601342891238529,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,policy 0,dikesnet
99,267.9932353879105,10.0,0.5841217524823032,225.46974074064966,1.5,0.43304961138000975,59.95635918285206,1.5,0.7509922132264117,199.65552901037015,10.0,0.23357140399011644,116.78331880134456,10.0,0.5516697356898077,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,policy 0,dikesnet
129,76.67004126708906,1.5,0.2464762010857843,66.50486595748949,1.5,0.06229494138905414,329.67777252288164,1.5,0.11564254575349449,168.84526454378744,10.0,0.3631052189069216,77.37931812845493,1.5,0.5752979653682265,2.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,policy 0,dikesnet
126,122.46015229142142,1.5,0.0563924288604354,138.48485957843292,1.0,0.5784964991240812,133.84732860600974,1.0,0.49799098606355635,126.47939669688878,1.0,0.7168370866506014,236.89578899520828,10.0,0.6318314830148044,4.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,policy 0,dikesnet
51,61.153914454717835,10.0,0.7567706367062454,250.03341943961442,1.0,0.5312528297718646,336.60641045345403,1.0,0.24795207390709287,279.6719538692311,1.5,0.8014213996702308,194.58105088418532,1.0,0.06283523111017772,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,policy 0,dikesnet
131,130.2648549967439,1.0,0.7636773832543655,73.15258703596541,1.5,0.14200482152879917,135.33141252529808,10.0,0.7114681756558191,231.03551026944498,1.0,0.8741965832088682,332.8224035808624,1.5,0.8570720387133646,4.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,policy 0,dikesnet
