Gelderland Expected Annual Damage,Gelderland Dike Investment Costs,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
3768362687.1574388,0,2.0539012829381265,0.0,0,0.0,0.0,0.0
2691453256.4374323,0,2.022623233543269,71051757.58354148,0,0.021169229788606435,0.0,0.0
3583586830.3974366,0,1.9263589055589379,0.0,0,0.0,0.0,0.0
156862140.75467652,0,0.1190330973681468,0.0,0,0.0,0.0,0.0
554202003.4188218,0,0.3884987393647576,0.0,0,0.0,0.0,0.0
1935164579.009965,0,3.4624570802252617,0.0,0,0.0,0.0,0.0
69954386.64647518,0,0.1400057170066082,40221988.93744547,0,0.022752367521144505,0.0,0.0
1667372956.7126534,0,2.341451455277792,0.0,0,0.0,0.0,0.0
2229655654.2402782,0,3.88406685779746,34469349.532517016,0,0.018190526506392742,0.0,0.0
2423932661.57479,0,3.4901848628000818,0.0,0,0.0,0.0,0.0
682621396.5596988,0,0.5822287862685999,73021595.98500384,0,0.0660557603956177,0.0,0.0
2795082443.486777,0,2.9474605694390648,0.0,0,0.0,0.0,0.0
1791587039.5864017,0,3.259626358084178,26115510.76976181,0,0.013374449472053698,0.0,0.0
1176427293.9225156,0,1.1499419091253538,236009245.67370546,0,0.2448126266603899,0.0,0.0
2583230016.594304,0,1.78703873311557,0.0,0,0.0,0.0,0.0
85234159.63242412,0,0.09730011706584005,169877201.48419344,0,0.11466670821331269,0.0,0.0
2344216103.815372,0,1.8264983972012596,0.0,0,0.0,0.0,0.0
21835828.874364026,0,0.030114233189778336,9700336.338924885,0,0.0056830386618217515,0.0,0.0
1680960612.440613,0,3.5258614831836703,0.0,0,0.0,0.0,0.0
105846862.62830135,0,0.10586280297982119,633190028.8389106,0,0.608585187238726,0.0,0.0
3546627532.3951187,0,2.641848323234666,1619807.776495279,0,0.0006650771113814033,0.0,0.0
3211267317.867526,0,1.8029837510439068,0.0,0,0.0,0.0,0.0
2313374030.6593494,0,1.8530222146474886,0.0,0,0.0,0.0,0.0
99867041.1620734,0,0.1598640180935548,153863505.71683374,0,0.06972774466366993,0.0,0.0
798959657.0089965,0,1.0938740728114422,437770487.8872908,0,0.3767394506023234,0.0,0.0
1968515472.043725,0,3.458773901386337,0.0,0,0.0,0.0,0.0
2545396586.873533,0,1.8383441892817407,0.0,0,0.0,0.0,0.0
2805979484.853753,0,3.5672580024635785,0.0,0,0.0,0.0,0.0
2798084701.0432873,0,1.853367988056944,0.0,0,0.0,0.0,0.0
2834966232.040408,0,1.5116316172340913,0.0,0,0.0,0.0,0.0
3593022363.3046856,0,3.099905466331883,6957358.883550253,0,0.003063742391070883,0.0,0.0
93242427.71931234,0,0.10785825680709152,1007997616.02043,0,0.9852729889001578,0.0,0.0
1215032891.4229429,0,0.9126723527380348,133669256.85077971,0,0.10583104661909447,0.0,0.0
692461404.1801866,0,1.346556704605334,50054680.573088944,0,0.025253545619759073,0.0,0.0
117625122.35815072,0,0.17179880600701541,42675750.67751311,0,0.03565173280196337,0.0,0.0
125746735.15499642,0,0.22625576750204543,63320616.371116206,0,0.03672509778329779,0.0,0.0
1873376001.4574347,0,1.3407783719137139,0.0,0,0.0,0.0,0.0
3635904820.0312276,0,1.9722169160564356,9299107.894414093,0,0.0031447841161076446,0.0,0.0
5445846164.00145,0,5.088979579930058,0.0,0,0.0,0.0,0.0
2580339882.1706533,0,2.6144520300500247,20085792.06376987,0,0.017423059517579078,0.0,0.0
246772236.9513476,0,0.18263907949344854,103864610.62543188,0,0.04120951720430854,0.0,0.0
2135034415.8266625,0,1.8108989552698094,0.0,0,0.0,0.0,0.0
2522481192.561046,0,1.8556689235993455,0.0,0,0.0,0.0,0.0
434891622.59169126,0,0.6103522171523185,408148784.5306068,0,0.3183668871046843,0.0,0.0
4000510154.81155,0,3.094972166600725,0.0,0,0.0,0.0,0.0
630884852.9358675,0,0.9658168696153964,115921280.117699,0,0.11994498967841945,0.0,0.0
4609172506.131168,0,5.118592003294379,0.0,0,0.0,0.0,0.0
2315750191.1062756,0,3.4305130812924998,0.0,0,0.0,0.0,0.0
2290112422.455372,0,1.922642430984268,0.0,0,0.0,0.0,0.0
1002013886.9461,0,1.416165831364155,15960739.664472055,0,0.006460436643404609,0.0,0.0
861128272.4454023,0,0.7542058683030979,90624874.26727417,0,0.04852661248507734,0.0,0.0
3413133203.62835,0,1.809183765278696,5326092.772543137,0,0.0016874954461386345,0.0,0.0
97508229.83020169,0,0.1418833352601392,87594300.25812098,0,0.03859483390080133,0.0,0.0
414592991.1517548,0,0.37323395436622453,68659360.3248896,0,0.06181048569227118,0.0,0.0
2489811089.9059696,0,3.6808518470901035,0.0,0,0.0,0.0,0.0
791966780.1014972,0,0.9180463061050613,0.0,0,0.0,0.0,0.0
4500630106.23056,0,3.2025555215628336,198655474.08580214,0,0.12757144990931651,0.0,0.0
2485661016.1155252,0,1.8215001285979562,0.0,0,0.0,0.0,0.0
1654635840.5751815,0,2.9690188557445554,0.0,0,0.0,0.0,0.0
345050452.19795066,0,0.21243275444483345,0.0,0,0.0,0.0,0.0
2772405123.021344,0,1.8320368086715109,0.0,0,0.0,0.0,0.0
43249734.16740662,0,0.05351163816653813,68525955.08698611,0,0.03779266621324712,0.0,0.0
3456609115.8338237,0,1.8464030364678667,34167153.61128103,0,0.012431432198047399,0.0,0.0
209759189.5982988,0,0.2421229261763556,82069831.97034535,0,0.03984238176580262,0.0,0.0
125616837.39075261,0,0.1826420163499271,79994585.33695173,0,0.0415928858259995,0.0,0.0
318995507.8866411,0,0.2384644048399242,8354348.398269448,0,0.006785546065300303,0.0,0.0
2254009844.764635,0,3.502154343307046,45804568.00811196,0,0.03710731941504869,0.0,0.0
3652099901.218366,0,1.968365002763208,0.0,0,0.0,0.0,0.0
882642115.1646605,0,0.796844083206808,0.0,0,0.0,0.0,0.0
584689232.0818481,0,0.4301341866335316,962529165.4039967,0,0.6730067751845742,0.0,0.0
1945644260.6513548,0,3.4047390918302463,0.0,0,0.0,0.0,0.0
2160153281.3791237,0,3.4788422621773964,0.0,0,0.0,0.0,0.0
3079448023.474102,0,1.8060127149748468,0.0,0,0.0,0.0,0.0
713079852.523463,0,0.6898626238351313,0.0,0,0.0,0.0,0.0
2370474404.974126,0,3.3864331854429044,0.0,0,0.0,0.0,0.0
2896685724.2314644,0,1.8473015085348172,0.0,0,0.0,0.0,0.0
248322227.01994324,0,0.33086138950548044,104916074.34557953,0,0.03839723620116557,0.0,0.0
2709547165.3852897,0,1.8570382576988915,3760202.0356046245,0,0.0019847450512572454,0.0,0.0
1408575211.0504198,0,2.2305429135565804,0.0,0,0.0,0.0,0.0
147030257.1887681,0,0.11882007762738364,155350622.13046977,0,0.06113677602602664,0.0,0.0
129334647.98089018,0,0.10874938755031788,114797158.00795728,0,0.045582801354596275,0.0,0.0
2717198088.4274096,0,2.3449651309377697,1447142.6170997028,0,0.0007905818008410655,0.0,0.0
2241131409.8339643,0,3.4645305095714267,0.0,0,0.0,0.0,0.0
141342699.1555243,0,0.12998985799480325,476087741.5024609,0,0.5488728120240665,0.0,0.0
2637683084.2139196,0,2.4112713581060836,22119282.69550281,0,0.012030563045731715,0.0,0.0
274152034.0976178,0,0.22032915673362546,153944638.00736612,0,0.06475007424432032,0.0,0.0
115352303.48855616,0,0.1442483620205396,6197458.805597183,0,0.006991353315199076,0.0,0.0
2550500177.829608,0,1.8370926172973574,17780044.461945925,0,0.01722728012818152,0.0,0.0
3213758300.2450533,0,2.2570583183980726,53876393.657900184,0,0.016927293245998502,0.0,0.0
969474229.0991848,0,0.8285980047276558,0.0,0,0.0,0.0,0.0
106259027.40476874,0,0.15767528284235927,331254689.81470376,0,0.2881949372706718,0.0,0.0
2793563990.355338,0,1.8496118804412782,6901800.580564432,0,0.003110214560089632,0.0,0.0
379844669.64340985,0,0.28913129134069687,354584132.9961499,0,0.34397759563256214,0.0,0.0
428516068.7877962,0,0.43175619657060493,0.0,0,0.0,0.0,0.0
2588509776.7289543,0,1.7916496504152013,5157197.476812987,0,0.00230871401214523,0.0,0.0
2554725912.880839,0,3.0443481304536144,5425972.5067999745,0,0.0029240927136465963,0.0,0.0
3152867000.7249417,0,1.9821428631873368,0.0,0,0.0,0.0,0.0
1128092168.443305,0,1.4397850798287495,0.0,0,0.0,0.0,0.0
127130120.36925021,0,0.17466586096302833,449473681.6338028,0,0.4175994826266854,0.0,0.0
147581666.73824012,0,0.16421617348757878,45725572.72480622,0,0.05642638751676318,0.0,0.0
246758947.63837004,0,0.32577031000528645,176620205.0066371,0,0.10511733706495996,0.0,0.0
1993057287.548207,0,3.5269815416139623,0.0,0,0.0,0.0,0.0
1664271838.6722207,0,3.4837485842827944,0.0,0,0.0,0.0,0.0
193788816.8263372,0,0.18209768849517136,544267836.0626302,0,0.5094864121748497,0.0,0.0
877065523.8077523,0,0.8340615142488692,0.0,0,0.0,0.0,0.0
694098259.9759152,0,0.5361477566092806,0.0,0,0.0,0.0,0.0
816619607.9222388,0,0.8002790182538894,633271.7259174368,0,0.0003291477818658996,0.0,0.0
729908524.6686721,0,0.8843342741553376,0.0,0,0.0,0.0,0.0
2656382107.5029426,0,1.8516766346367377,100652306.54742536,0,0.08452988364090136,0.0,0.0
139400939.225177,0,0.15155245408465484,490852774.1136186,0,0.45208464308324325,0.0,0.0
3359306182.717784,0,3.121276679176931,0.0,0,0.0,0.0,0.0
4399690554.030284,0,4.518446626466341,0.0,0,0.0,0.0,0.0
4182534566.26523,0,4.863545953168678,0.0,0,0.0,0.0,0.0
2029456456.1976979,0,3.61026632564227,0.0,0,0.0,0.0,0.0
832642266.6634315,0,0.7897819476032776,19044380.100072987,0,0.01206529789141452,0.0,0.0
2703067423.5011215,0,2.9914631634230506,0.0,0,0.0,0.0,0.0
587730685.4176711,0,0.9120434667239521,0.0,0,0.0,0.0,0.0
2506753025.1659966,0,1.8498362523252179,0.0,0,0.0,0.0,0.0
2356561152.080568,0,1.8385931821342387,0.0,0,0.0,0.0,0.0
480670442.797855,0,0.7029629844071815,188250181.93216354,0,0.08779978871315383,0.0,0.0
117599885.80851868,0,0.2573269867165171,50258882.74757758,0,0.029394096075595302,0.0,0.0
3841365425.271448,0,4.3089138147133985,0.0,0,0.0,0.0,0.0
379613728.721252,0,0.3188976039140149,0.0,0,0.0,0.0,0.0
2268213381.09901,0,1.5654157251228047,0.0,0,0.0,0.0,0.0
1842305772.5847106,0,2.883252573203812,71101931.00523415,0,0.02505868378128463,0.0,0.0
480649790.93152165,0,0.5051295491869678,0.0,0,0.0,0.0,0.0
1003976230.0998224,0,0.7634318900356514,0.0,0,0.0,0.0,0.0
3540489259.028028,0,3.5845425750922897,0.0,0,0.0,0.0,0.0
120864589.232749,0,0.18913207166713747,121769512.39533548,0,0.06605521237151897,0.0,0.0
2834189765.294247,0,1.8862310581789723,0.0,0,0.0,0.0,0.0
88892156.60638094,0,0.10767403526048508,107287201.85643011,0,0.05884089942956311,0.0,0.0
2500396920.471445,0,1.835083382814104,0.0,0,0.0,0.0,0.0
2009539650.2397726,0,3.4689826555469163,0.0,0,0.0,0.0,0.0
